,BC_Run_State,EquipCode,Equip_Work_Time_Total,bc1174,bc120,bc124,bc125,bc1304,bc_total_consumption,time
167,0.0,19BC52303373,0.03,54.0,52.0,0.0,0.0,0.0,,2019-08-12T18:21:10+08:00
168,0.0,19BC52303373,0.03,54.0,78.0,0.0,0.0,0.0,,2019-08-12T18:21:11+08:00
169,0.0,19BC52303373,0.03,54.0,78.0,0.0,0.0,0.0,,2019-08-12T18:21:39+08:00
170,0.0,19BC52303373,0.03,54.0,91.0,0.0,0.0,0.0,,2019-08-12T18:21:40+08:00
171,0.0,19BC52303373,0.03,54.0,126.0,0.0,0.0,0.0,,2019-08-12T18:21:41+08:00
172,0.0,19BC52303373,0.03,54.0,86.0,0.0,0.0,0.0,,2019-08-12T18:21:42+08:00
173,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:21:43+08:00
174,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:21:44+08:00
175,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:21:45+08:00
176,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:21:46+08:00
177,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:21:47+08:00
178,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:21:49+08:00
179,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:21:50+08:00
180,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:21:52+08:00
181,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:21:53+08:00
182,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:21:54+08:00
183,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:21:55+08:00
184,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:21:56+08:00
185,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:21:57+08:00
186,0.0,19BC52303373,0.03,54.0,195.0,0.0,0.0,0.0,,2019-08-12T18:23:07+08:00
187,0.0,19BC52303373,0.03,54.0,208.0,0.0,0.0,0.0,,2019-08-12T18:23:08+08:00
188,0.0,19BC52303373,0.03,54.0,176.0,0.0,0.0,0.0,,2019-08-12T18:23:09+08:00
189,0.0,19BC52303373,0.03,54.0,78.0,0.0,0.0,0.0,,2019-08-12T18:23:10+08:00
190,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,9.0,2019-08-12T18:23:13+08:00
191,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:23:14+08:00
192,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:23:16+08:00
193,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:23:17+08:00
194,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:23:19+08:00
195,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:23:20+08:00
196,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:23:21+08:00
197,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:23:22+08:00
198,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:23:24+08:00
199,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:23:25+08:00
200,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:23:27+08:00
201,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:23:28+08:00
202,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:23:29+08:00
203,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:23:30+08:00
204,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:23:31+08:00
205,0.0,19BC52303373,0.03,54.0,0.0,0.0,0.0,0.0,,2019-08-12T18:23:32+08:00
